frame,timecode,name,X,Y,Z,min,max
0,00:00:00.000,trunk.002,176.841,-1.271,-21.902,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
0,00:00:00.000,trunk.003,178.637,-0.887,-3.371,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
0,00:00:00.000,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
1,00:00:00.033,trunk.002,176.839,-1.265,-21.792,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
1,00:00:00.033,trunk.003,178.638,-0.884,-3.360,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
1,00:00:00.033,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
2,00:00:00.067,trunk.002,176.836,-1.257,-21.649,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
2,00:00:00.067,trunk.003,178.639,-0.880,-3.343,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
2,00:00:00.067,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
3,00:00:00.100,trunk.002,176.832,-1.247,-21.472,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
3,00:00:00.100,trunk.003,178.640,-0.874,-3.322,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
3,00:00:00.100,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
4,00:00:00.133,trunk.002,176.827,-1.236,-21.263,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
4,00:00:00.133,trunk.003,178.642,-0.867,-3.296,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
4,00:00:00.133,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
5,00:00:00.167,trunk.002,176.822,-1.222,-21.020,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
5,00:00:00.167,trunk.003,178.644,-0.859,-3.265,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
5,00:00:00.167,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
6,00:00:00.200,trunk.002,176.816,-1.207,-20.746,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
6,00:00:00.200,trunk.003,178.646,-0.849,-3.229,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
6,00:00:00.200,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
7,00:00:00.233,trunk.002,176.810,-1.190,-20.440,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
7,00:00:00.233,trunk.003,178.649,-0.839,-3.189,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
7,00:00:00.233,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
8,00:00:00.267,trunk.002,176.803,-1.171,-20.102,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
8,00:00:00.267,trunk.003,178.651,-0.827,-3.143,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
8,00:00:00.267,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
9,00:00:00.300,trunk.002,176.795,-1.151,-19.733,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
