frame,timecode,name,X,Y,Z,min,max
0,00:00:00.000,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
0,00:00:00.000,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
0,00:00:00.000,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
1,00:00:00.033,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
1,00:00:00.033,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
1,00:00:00.033,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
2,00:00:00.067,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
2,00:00:00.067,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
2,00:00:00.067,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
3,00:00:00.100,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
3,00:00:00.100,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
3,00:00:00.100,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
4,00:00:00.133,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
4,00:00:00.133,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
4,00:00:00.133,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
5,00:00:00.167,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
5,00:00:00.167,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
5,00:00:00.167,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
6,00:00:00.200,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
6,00:00:00.200,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
6,00:00:00.200,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
7,00:00:00.233,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
7,00:00:00.233,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
7,00:00:00.233,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
8,00:00:00.267,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
8,00:00:00.267,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
8,00:00:00.267,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
9,00:00:00.300,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
9,00:00:00.300,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
9,00:00:00.300,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
10,00:00:00.333,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
10,00:00:00.333,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
10,00:00:00.333,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
11,00:00:00.367,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
11,00:00:00.367,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
11,00:00:00.367,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
12,00:00:00.400,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
12,00:00:00.400,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
12,00:00:00.400,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
13,00:00:00.433,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
13,00:00:00.433,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
13,00:00:00.433,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
14,00:00:00.467,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
14,00:00:00.467,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
14,00:00:00.467,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
15,00:00:00.500,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
15,00:00:00.500,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
15,00:00:00.500,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
16,00:00:00.533,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
16,00:00:00.533,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
16,00:00:00.533,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
17,00:00:00.567,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
17,00:00:00.567,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
17,00:00:00.567,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
18,00:00:00.600,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
18,00:00:00.600,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
18,00:00:00.600,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
19,00:00:00.633,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
19,00:00:00.633,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
19,00:00:00.633,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
20,00:00:00.667,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
20,00:00:00.667,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
20,00:00:00.667,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
21,00:00:00.700,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
21,00:00:00.700,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
21,00:00:00.700,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
22,00:00:00.733,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
22,00:00:00.733,trunk.003,178.744,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
22,00:00:00.733,rear_R.IK,0.000,-0.000,180.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
23,00:00:00.767,trunk.002,176.595,0.000,-0.000,"(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)","(178.7436326922675, 2.5106984772892595e-05, -5.50621850231581e-07)"
